"Accepted Symbol","Synonym Symbol","Scientific Name","Federal Noxious Status","State Noxious Status","Invasive","C:N Ratio","Foliage Texture","Growth Rate","Height, Mature (feet)","Leaf Retention","Nitrogen Fixation","Adapted to Coarse Textured Soils","Adapted to Medium Textured Soils","Frost Free Days, Minimum","Moisture Use","Precipitation (Minimum)","Precipitation (Maximum)","Root Depth, Minimum (inches)","Shade Tolerance","Temperature, Minimum (°F)","Palatable Browse Animal","Palatable Graze Animal"
"ABMA","","Abies magnifica","","","","High","Medium","Slow","150","Yes","None","Yes","Yes","90","Medium","33","64","20","Tolerant","-23","Low","Low"
"ABMAS","","Abies magnifica var. shastensis","","","","","","","","","","","","","","","","","","","",""
"ABMAS","ABSH","Abies ×shastensis","","","","High","Medium","Slow","180","Yes","None","Yes","Yes","90","Medium","30","60","20","Intermediate","-23","Low","Low"
"ABPR","","Abies procera","","","","High","Medium","Rapid","230","Yes","None","Yes","Yes","50","Low","64","120","20","Intermediate","-23","Low","Low"
"ACGI","","Acer ginnala","","CT (PINB)","WI","High","Medium","Rapid","20","No","None","Yes","Yes","130","Medium","30","60","24","Intermediate","-38","Low","Low"
"ACNE2","","Acer negundo","","","N'EAST","High","Coarse","Rapid","60","No","None","Yes","Yes","100","Medium","15","75","40","Tolerant","-46","Low","Low"
"ACSA2","","Acer saccharinum","","","","High","Medium","Rapid","90","No","None","Yes","Yes","120","Medium","20","70","32","Intermediate","-47","Low","Low"
"ACMIO","","Achillea millefolium var. occidentalis","","","","Medium","Fine","Moderate","3.0","No","None","Yes","Yes","100","Medium","8","26","8","Intermediate","-38","Low","Low"
"ACCO4","","Aconitum columbianum","","","","Medium","Medium","Moderate","5.0","No","None","Yes","Yes","110","High","12","50","10","Intermediate","-28","Low","Low"
"ACCA4","","Acorus calamus","","","","High","Coarse","Moderate","5.0","No","None","Yes","Yes","90","High","32","60","12","Intolerant","-38","Low","Low"
"AEPA","","Aesculus pavia","","","","High","Coarse","Moderate","25","No","None","Yes","Yes","180","High","36","65","20","Tolerant","-20","Low","Low"
"AGPA2","","Agastache parvifolia","","","","Medium","Coarse","Moderate","2.0","No","None","Yes","Yes","130","Low","12","65","12","Intolerant","-23","Low","Low"
"AGUT","","Agave utahensis","","","","High","Coarse","Moderate","1.0","Yes","None","Yes","Yes","120","Low","5","24","6","Intolerant","-23","Low","Low"
"AGGR","","Agoseris grandiflora","","","","Medium","Coarse","Moderate","1.8","No","None","Yes","Yes","120","Medium","12","20","8","Intolerant","-13","Low","Low"
"AGGR2","","Agrimonia gryposepala","","","","","Medium","Moderate","5.9","No","None","Yes","Yes","120","Medium","15","55","6","Intermediate","-43","Low","Low"
"AGPA6","","Agrimonia parviflora","","","","Low","Medium","Rapid","6.0","No","None","Yes","Yes","160","High","24","50","6","Intermediate","-33","Low","Low"
"AGRO3","","Agrimonia rostellata","","","","","Medium","Moderate","2.3","No","None","Yes","Yes","120","Medium","35","50","6","Intermediate","-33","Low","Low"
"AGST","","Agrimonia striata","","","","Medium","Medium","Moderate","6.0","No","None","Yes","Yes","140","Medium","8","45","12","Tolerant","-43","Low","Low"
"ALGL2","","Alnus glutinosa","","","SEEPPC, WI","Low","Medium","Rapid","45","No","High","Yes","Yes","130","Medium","20","65","16","Intermediate","-18","Low","Low"
"ALINT","","Alnus incana ssp. tenuifolia","","","","High","Medium","Rapid","20","No","Medium","Yes","Yes","130","High","10","20","18","Intermediate","-62","Low","Low"
"ALRH2","","Alnus rhombifolia","","","","High","Medium","Rapid","65","No","Low","Yes","Yes","200","High","20","125","12","Tolerant","-24","Low","Low"
"ALVIC","","Alnus viridis ssp. crispa","","","","High","Medium","Moderate","10","No","Low","Yes","Yes","80","High","12","60","20","Intermediate","-62","Low","Low"
"ALVIS","","Alnus viridis ssp. sinuata","","","","High","Medium","Slow","16","No","Low","Yes","Yes","90","High","16","200","10","Intermediate","-48","Low","Low"
"AMDU2","","Ambrosia dumosa","","","","","Medium","Rapid","2.0","No","None","Yes","Yes","250","Low","4","11","12","Intolerant","-11","Low","Low"
"AMAR3","","Amelanchier arborea","","","","Medium","Fine","Slow","36","No","None","Yes","Yes","120","Medium","26","80","20","Tolerant","-47","Low","Low"
"AMFR","","Amorpha fruticosa","","CT (PIB), WA (CBW, NWSPQ)","STATE","High","Coarse","Slow","15","No","Medium","Yes","Yes","100","Low","10","65","24","Intolerant","-38","Low","Low"
"ANMU","","Anemone multifida","","","","Low","Coarse","Rapid","2.0","No","None","Yes","Yes","120","Medium","40","60","6","Tolerant","-23","Low","Low"
"ANDI2","","Antennaria dimorpha","","","","Medium","Fine","Slow","0.3","No","None","Yes","Yes","120","Low","12","40","14","Intermediate","-38","Low","Low"
"APCA","","Apocynum cannabinum","","","KY, NE&GP, SWSS, WSWS","","Medium","Moderate","3.3","No","None","Yes","Yes","100","High","15","60","12","Intermediate","-43","Low","Low"
"AQCO","","Aquilegia coerulea","","","","","","","","","","","","","","","","","","","",""
"AQCO","AQCA2","Aquilegia caerulea","","","","Medium","Fine","Moderate","2.0","No","None","Yes","Yes","130","Medium","12","40","10","Tolerant","-28","Low","Low"
"ARDI2","","Arabis ×divaricarpa","","","","Medium","Coarse","Rapid","3.0","No","None","Yes","Yes","80","Low","28","50","8","Tolerant","-28","Low","Low"
"ARNU2","","Aralia nudicaulis","","","","Medium","Coarse","Moderate","1.5","No","None","Yes","Yes","85","Medium","32","50","10","Tolerant","-38","Low","Low"
"ARSP2","","Aralia spinosa","","","","High","Coarse","Moderate","20","No","None","Yes","Yes","160","High","35","80","30","Intolerant","-25","Low","Low"
"ARLA2","","Arctagrostis latifolia","","","","Medium","Medium","Slow","1.8","No","None","Yes","Yes","90","High","30","60","24","Intolerant","-38","Low","Low"
"ARMA","","Arctostaphylos manzanita","","","","High","Coarse","Slow","8.0","Yes","None","Yes","Yes","120","Low","14","60","20","Intermediate","-23","Low","Low"
"ARNE","","Arctostaphylos nevadensis","","","","High","Coarse","Slow","2.0","Yes","None","Yes","Yes","180","Low","16","80","30","Tolerant","-13","Low","Low"
"ARPA6","","Arctostaphylos patula","","","","High","Coarse","Slow","6.0","Yes","None","Yes","Yes","120","Medium","13","60","20","Intermediate","-28","Low","Low"
"ARUV","","Arctostaphylos uva-ursi","","","","High","Coarse","Moderate","0.5","Yes","None","Yes","Yes","140","Low","14","45","10","Intermediate","-33","Low","Low"
"ARPO2","","Argemone polyanthemos","","","NE&GP, WSWS","High","Coarse","Rapid","3.0","No","None","Yes","Yes","140","Low","10","15","6","Intolerant","-23","Low","Low"
"ARTR","","Arisaema triphyllum","","","","High","Coarse","Moderate","1.5","No","None","Yes","Yes","175","High","34","50","8","Tolerant","-18","Low","Low"
"ARMA6","","Armeria maritima","","","","High","Fine","Moderate","0.9","Yes","None","Yes","Yes","110","Medium","32","60","10","Intolerant","-28","Low","Low"
"ARAM2","","Arnica amplexicaulis","","","","Medium","Medium","Moderate","2.5","No","None","Yes","Yes","100","High","20","40","6","Tolerant","-23","Low","Low"
"ARCH3","","Arnica chamissonis","","","","Medium","Medium","Moderate","2.5","No","None","Yes","Yes","90","High","14","24","8","Intermediate","-33","Low","Low"
"ARCO9","","Arnica cordifolia","","","","Low","Coarse","Rapid","1.5","No","None","Yes","Yes","130","High","10","35","6","Tolerant","-28","Low","Low"
"ARLA8","","Arnica latifolia","","","","Medium","Medium","Moderate","2.0","No","None","Yes","Yes","90","High","14","40","8","Intermediate","-33","Low","Low"
"ARLO6","","Arnica longifolia","","","","Medium","Coarse","Moderate","2.0","No","None","Yes","Yes","100","High","16","60","10","Tolerant","-33","Low","Low"
"ARMO4","","Arnica mollis","","","","","Medium","Slow","2.0","No","None","Yes","Yes","80","High","10","100","2","Intermediate","-33","Low","Low"
"ARFUH","","Artemisia furcata var. heterophylla","","","","High","Coarse","Slow","4.0","No","None","Yes","Yes","100","Low","14","28","32","Intolerant","-18","Low","Low"
"ARTRV","","Artemisia tridentata ssp. vaseyana","","","","Medium","Coarse","Slow","7.0","No","None","Yes","Yes","90","Low","11","45","16","Intolerant","-43","Low","Low"
"ASTU","","Asclepias tuberosa","","","","Low","Coarse","Slow","2.0","No","None","Yes","Yes","135","Low","28","45","16","Intolerant","-33","Low","Low"
"ASTR","","Asimina triloba","","","","High","Coarse","Slow","25","No","None","Yes","Yes","160","Medium","36","80","20","Tolerant","-27","Low","Low"
"ASCU4","","Astragalus curvicarpus","","","","Low","Fine","Rapid","0.4","No","Low","Yes","Yes","120","Low","10","60","6","Intolerant","-23","Low","Low"
"ASPU9","","Astragalus purshii","","","","Low","Fine","Moderate","0.6","No","Medium","Yes","Yes","80","Low","10","20","10","Intolerant","-33","Low","Low"
"BASE2","","Balsamorhiza serrata","","","","Medium","Medium","Moderate","1.0","No","None","Yes","Yes","140","Low","16","28","12","Intolerant","-28","Low","Low"
"BASC5","","Bassia scoparia","","","","","","","","","","","","","","","","","","","",""
"BASC5","KOSC","Kochia scoparia","","CT (PIB), OR (BDW), OR (Q), WA (CBW), WA (NWSPQ)","N'EAST, NE&GP, STATE, SWSS, WSWS","","Fine","Moderate","4.9","No","None","Yes","Yes","120","Low","10","40","6","Intolerant","-38","Low","Low"
"BETH","","Berberis thunbergii","","CT (INB), MA (P)","SEEPPC, WI","High","Fine","Moderate","6.0","No","None","Yes","Yes","180","Medium","30","60","18","Intolerant","-28","Low","Low"
"BOAS","","Boltonia asteroides","","","","Medium","Coarse","Rapid","8.0","No","None","Yes","Yes","80","Medium","22","55","12","Intermediate","-38","Low","Low"
"BOSA","","Bothriochloa saccharoides","","","","","Fine","Moderate","2.0","No","None","Yes","Yes","140","Medium","10","48","12","Intolerant","-23","Low","Low"
"BRKA2","","Bromus kalmii","","","","Medium","Fine","Rapid","3.0","No","None","Yes","Yes","85","Low","32","55","8","Tolerant","-33","Low","Low"
"CANO9","","Callitropsis nootkatensis","","","","","","","","","","","","","","","","","","","",""
"CANO9","CHNO","Chamaecyparis nootkatensis","","","","High","Fine","Slow","75","Yes","None","Yes","Yes","111","Medium","45","100","24","Tolerant","-22","Low","Low"
"CADE27","","Calocedrus decurrens","","","","High","Coarse","Slow","100","Yes","None","Yes","Yes","100","Low","20","80","60","Intermediate","-25","Low","Low"
"CAAP2","","Campanula aparinoides","","","","Medium","Fine","Moderate","2.0","No","None","Yes","Yes","140","High","20","60","8","Intolerant","-38","Low","Low"
"CAAR18","","Caragana arborescens","","","","Medium","Medium","Rapid","12","No","Medium","Yes","Yes","150","Medium","12","55","16","Intermediate","-38","Low","Low"
"CAPE3","","Cardamine pensylvanica","","","","Low","Fine","Rapid","1.5","No","None","Yes","Yes","75","Medium","32","55","7","Tolerant","-33","Low","Low"
"CAAU3","","Carex aurea","","","","Medium","Fine","Slow","1.2","No","None","Yes","Yes","85","High","14","40","8","Intermediate","-33","Low","Low"
"CABE3","","Carex bella","","","","Medium","Fine","Slow","2.0","No","None","Yes","Yes","120","High","10","40","8","Intermediate","-18","Low","Low"
"CABI3","","Carex bicknellii","","","","Medium","Fine","Moderate","3.4","No","None","Yes","Yes","85","Low","14","55","8","Tolerant","-38","Low","Low"
"CABI5","","Carex bigelowii","","","","Medium","Medium","Moderate","0.4","No","None","Yes","Yes","80","Medium","36","55","6","Intermediate","-43","Low","Low"
"CACA11","","Carex canescens","","","","Medium","Fine","Slow","2.0","No","None","Yes","Yes","85","High","14","40","8","Intermediate","-33","Low","Low"
"CACE","","Carex cephalophora","","","","Medium","Medium","Moderate","2.6","No","None","Yes","Yes","90","Low","36","55","8","Intermediate","-33","Low","Low"
"CADE5","","Carex debilis","","","","Medium","Medium","Moderate","3.0","No","None","Yes","Yes","180","High","36","55","8","Tolerant","-13","Low","Low"
"CADE6","","Carex decomposita","","","","Medium","Coarse","Rapid","4.5","No","None","Yes","Yes","140","High","36","55","12","Tolerant","-13","Low","Low"
"CADI4","","Carex diandra","","","","Medium","Medium","Slow","3.0","No","None","Yes","Yes","85","High","14","40","8","Intermediate","-33","Low","Low"
"CAFI","","Carex filifolia","","","","High","Coarse","Slow","1.2","No","None","Yes","Yes","90","Low","8","24","12","Intolerant","-38","Low","Low"
"CAGE2","","Carex geyeri","","","","Medium","Medium","Slow","1.5","No","None","Yes","Yes","130","Low","12","20","10","Intermediate","-28","Low","Low"
"CAHA2","","Carex halliana","","","","Medium","Medium","Slow","2.5","No","None","Yes","Yes","120","Medium","38","60","8","Intolerant","-33","Low","Low"
"CALE8","","Carex lenticularis","","","","High","Coarse","Moderate","1.6","No","None","Yes","Yes","80","High","36","55","10","Intermediate","-38","Low","Low"
"CALEL3","","Carex lenticularis var. lipocarpa","","","","High","Coarse","Moderate","3.0","No","None","Yes","Yes","85","Medium","32","55","12","Tolerant","-33","Low","Low"
"CALI7","","Carex limosa","","","","Medium","Fine","Slow","1.8","No","None","Yes","Yes","85","Medium","14","46","8","Intolerant","-33","Low","Low"
"CALU7","","Carex luzulina","","","","Medium","Fine","Slow","2.0","No","None","Yes","Yes","85","High","12","24","8","Intolerant","-33","Low","Low"
"CAMA13","","Carex mariposana","","","","Medium","Medium","Slow","2.0","No","None","Yes","Yes","130","Low","14","60","9","Tolerant","-13","Low","Low"
"CAME6","","Carex mertensii","","","","Medium","Medium","Slow","3.5","No","None","Yes","Yes","120","Medium","24","60","9","Tolerant","-28","Low","Low"
"CAMI7","","Carex microptera","","","","Medium","Fine","Slow","2.0","No","None","Yes","Yes","85","High","10","24","8","Intolerant","-33","Low","Low"
"CAMO11","","Carex molesta","","","","Medium","Fine","Slow","3.0","No","None","Yes","Yes","85","Medium","24","55","10","Intolerant","-38","Low","Low"
"CAPO4","","Carex polymorpha","","","","High","Coarse","Slow","2.0","No","None","Yes","Yes","85","Low","36","55","10","Tolerant","-33","Low","Low"
"CAPR5","","Carex praegracilis","","","","Medium","Medium","Moderate","2.0","No","None","Yes","Yes","80","Medium","10","24","10","Intermediate","-38","Low","Low"
"CARA6","","Carex raynoldsii","","","","Medium","Medium","Moderate","2.0","No","None","Yes","Yes","85","Medium","30","60","12","Tolerant","-33","Low","Low"
"CARO5","","Carex rossii","","","","Medium","Coarse","Moderate","1.0","No","None","Yes","Yes","140","Medium","14","60","8","Intermediate","-33","Low","Low"
"CASC10","","Carex scirpoidea","","","","Medium","Medium","Moderate","1.5","No","None","Yes","Yes","80","Medium","32","55","16","Tolerant","-38","Low","Low"
"CATO4","","Carex torta","","","","Medium","Medium","Slow","2.8","No","None","Yes","Yes","90","Medium","32","50","8","Tolerant","-33","Low","Low"
"CACA18","","Carpinus caroliniana","","","","High","Medium","Slow","30","No","None","Yes","Yes","80","Medium","23","80","20","Tolerant","-34","Low","Low"
"CAAQ2","","Carya aquatica","","","","High","Coarse","Slow","85","No","None","Yes","Yes","200","Medium","35","70","48","Intermediate","-18","Low","Low"
"CACO15","","Carya cordiformis","","","","High","Coarse","Slow","75","No","None","Yes","Yes","120","Medium","25","70","50","Intolerant","-47","Low","Low"
"CAGL8","","Carya glabra","","","","High","Coarse","Slow","80","No","None","Yes","Yes","140","Medium","30","80","50","Intermediate","-30","Low","Low"
"CAIL2","","Carya illinoinensis","","","","High","Fine","Slow","120","No","None","Yes","Yes","180","High","28","79","32","Intolerant","-21","Low","Low"
"CALA21","","Carya laciniosa","","","","High","Coarse","Slow","100","No","None","Yes","Yes","150","High","30","60","60","Tolerant","-22","Low","Low"
"CAOV2","","Carya ovata","","","","High","Coarse","Slow","75","No","None","Yes","Yes","140","Medium","29","80","48","Intermediate","-40","Low","Low"
"CATO6","","Carya tomentosa","","","","","","","","","","","","","","","","","","","",""
"CATO6","CAAL27","Carya alba","","","","High","Coarse","Slow","85","No","None","Yes","Yes","160","Medium","32","80","50","Intermediate","-33","Low","Low"
"CAMO83","","Castanea mollissima","","","","","Coarse","Rapid","50","No","None","Yes","Yes","180","Medium","35","50","36","Intolerant","-20","Low","Low"
"CASP8","","Catalpa speciosa","","","","High","Medium","Rapid","60","No","Low","Yes","Yes","90","Low","20","80","20","Intolerant","-38","Low","Low"
"CEPR","","Ceanothus prostratus","","","","High","Coarse","Slow","0.5","Yes","Low","Yes","Yes","120","Low","16","40","14","Tolerant","-23","Low","Low"
"CESA","","Ceanothus sanguineus","","","","High","Coarse","Slow","10","No","Low","Yes","Yes","300","High","13","35","12","Intermediate","-13","Low","Low"
"CEVE","","Ceanothus velutinus","","","","Medium","Medium","Moderate","10","No","Medium","Yes","Yes","120","Medium","14","40","18","Intolerant","-23","Low","Low"
"CEOR7","","Celastrus orbiculatus","","CT (IB), MA (P), NC (CCW), NH (PIS), VT (CBW)","N'EAST, SEEPPC, STATE, WI","High","Coarse","Rapid","30","No","None","Yes","Yes","100","High","30","60","18","Tolerant","-38","Low","Low"
"CESC","","Celastrus scandens","","","","High","Coarse","Rapid","15","No","None","Yes","Yes","110","High","30","60","18","Tolerant","-38","Low","Low"
"CEOC2","","Cephalanthus occidentalis","","","","Medium","Coarse","Moderate","15","No","None","Yes","Yes","150","High","20","80","14","Tolerant","-33","Low","Low"
"CHDO","","Chaenactis douglasii","","","","Medium","Medium","Moderate","1.6","No","None","Yes","Yes","100","Low","14","60","10","Intermediate","-38","Low","Low"
"CHJA2","","Chaenomeles japonica","","","","High","Medium","Rapid","8.0","No","None","Yes","Yes","90","Medium","32","60","18","Intermediate","-43","Low","Low"
"CHLA","","Chamaecyparis lawsoniana","","","","High","Fine","Moderate","200","Yes","None","Yes","Yes","173","Medium","49","110","60","Tolerant","-12","Low","Low"
"CHCHC4","","Chrysolepis chrysophylla var. chrysophylla","","","","High","Coarse","Moderate","100","Yes","None","Yes","Yes","102","Medium","34","130","48","Tolerant","-34","Low","Low"
"CHVI8","","Chrysothamnus viscidiflorus","","","WSWS","High","Fine","Moderate","3.0","No","None","Yes","Yes","160","Low","7","24","14","Intolerant","-23","Low","Low"
"CIIN","","Cichorium intybus","","CO (CW)","KY, N'EAST, NE&GP, SEEPPC, STATE, SWSS, WSWS","Medium","Coarse","Rapid","2.0","No","None","Yes","Yes","90","High","20","60","8","Intolerant","-43","Low","Low"
"CLLI2","","Clematis ligusticifolia","","","","Medium","Medium","Moderate","1.0","No","None","Yes","Yes","120","Medium","12","20","16","Intermediate","-38","Low","Low"
"CORA","","Coleogyne ramosissima","","","","Medium","Coarse","Slow","6.0","No","None","Yes","Yes","140","Low","6","16","24","Intolerant","-18","Low","Low"
"COAM2","","Cornus amomum","","","","High","Coarse","Moderate","10","No","None","Yes","Yes","110","High","36","60","16","Intermediate","-38","Low","Low"
"COCOC","","Corylus cornuta var. californica","","","","High","Coarse","Slow","18","No","None","Yes","Yes","130","Medium","14","100","18","Tolerant","-28","Low","Low"
"COAC2","","Cotoneaster acutifolius","","","","High","Medium","Moderate","13","No","None","Yes","Yes","120","Medium","32","60","16","Intermediate","-38","Low","Low"
"DACO","","Danthonia compressa","","","","Medium","Medium","Moderate","2.4","No","None","Yes","Yes","90","Medium","32","55","10","Tolerant","-33","Low","Low"
"DECE","","Deschampsia cespitosa","","","","","","","","","","","","","","","","","","","",""
"DECE","DECA18","Deschampsia caespitosa","","","","Medium","Medium","Moderate","3.4","No","None","Yes","Yes","100","Low","14","24","14","Intolerant","-38","Low","Low"
"DEEL","","Deschampsia elongata","","","","Medium","Coarse","Moderate","3.0","No","None","Yes","Yes","90","Low","10","24","8","Intolerant","-38","Low","Low"
"DIFO","","Dicentra formosa","","","","Low","Fine","Rapid","1.5","No","None","Yes","Yes","200","Low","55","155","6","Tolerant","-23","Low","Low"
"DOPU","","Dodecatheon pulchellum","","","","Medium","Fine","","2.0","No","None","Yes","Yes","100","Medium","12","30","8","Intermediate","-33","Low","Low"
"DOLA","","Douglasia laevigata","","","","Medium","Fine","Moderate","0.2","No","None","Yes","Yes","80","Medium","12","24","6","Intermediate","-13","Low","Low"
"ECPA","","Echinacea pallida","","","","Medium","Fine","Moderate","1.2","No","None","Yes","Yes","90","Medium","14","40","14","Intolerant","-33","Low","Low"
"ECPU","","Echinacea purpurea","","","","Medium","Fine","Moderate","1.2","No","None","Yes","Yes","90","Medium","14","40","24","Intolerant","-33","Low","Low"
"ELAN","","Elaeagnus angustifolia","","CO (BW), CT (PIB), NM (CCW)","Cal-IPC, NE&GP, STATE, WI, WSWS","Medium","Coarse","Rapid","35","No","High","Yes","Yes","100","High","12","40","20","Intolerant","-38","Low","Low"
"EPTO","","Ephedra torreyana","","","","Medium","Coarse","Slow","1.0","Yes","None","Yes","Yes","120","Low","8","14","24","Intolerant","-28","Low","Low"
"EQAR","","Equisetum arvense","","","N'EAST, NE&GP, WSWS","","Coarse","Rapid","0.9","No","None","Yes","Yes","100","High","20","100","6","Intermediate","-43","Low","Low"
"ERNAN5","","Ericameria nauseosa ssp. nauseosa var. nauseosa","","","","High","Medium","Slow","4.0","No","None","Yes","Yes","150","Medium","6","20","20","Intolerant","-38","Low","Low"
"ERCO4","","Erigeron compositus","","","","Medium","Medium","Moderate","1.0","No","None","Yes","Yes","80","Low","10","24","10","Intolerant","-33","Low","Low"
"ERFI2","","Erigeron filifolius","","","","Medium","Fine","Rapid","1.0","No","None","Yes","Yes","120","Low","10","60","6","Intolerant","-12","Low","Low"
"ERPE3","","Erigeron peregrinus","","","","Medium","Medium","Moderate","2.0","No","None","Yes","Yes","80","High","12","20","8","Intermediate","-38","Low","Low"
"EREL5","","Eriogonum elatum","","","","Medium","Medium","Moderate","3.0","No","None","Yes","Yes","130","Low","8","16","12","Intolerant","-28","Low","Low"
"ERMI4","","Eriogonum microthecum","","","","Medium","Fine","Moderate","1.1","No","None","Yes","Yes","140","Low","10","26","12","Intolerant","-38","Low","Low"
"ERSP7","","Eriogonum sphaerocephalum","","","","High","Fine","Slow","1.0","No","None","Yes","Yes","145","Low","10","18","14","Intolerant","-23","Low","Low"
"ERST4","","Eriogonum strictum","","","","High","Medium","Slow","2.2","No","None","Yes","Yes","145","Low","10","18","14","Intolerant","-23","Low","Low"
"ERTH4","","Eriogonum thymoides","","","","High","Medium","Slow","1.0","No","None","Yes","Yes","140","Low","10","18","12","Intolerant","-23","Low","Low"
"EUAM9","","Euonymus americanus","","","","","","","","","","","","","","","","","","","",""
"EUAM9","EUAM7","Euonymus americana","","","","Medium","Fine","Moderate","6.0","No","None","Yes","Yes","120","High","35","70","8","Intermediate","-23","Low","Low"
"EUGL19","","Eurybia glauca","","","","Medium","Medium","Moderate","2.0","No","None","Yes","Yes","130","Medium","10","20","10","Intolerant","-43","Low","Low"
"FEWI","","Ferocactus wislizeni","","","","High","Coarse","Slow","11","No","None","Yes","Yes","160","Low","9","24","6","Intolerant","-23","Low","Low"
"FESU","","Festuca subulata","","","","Medium","Medium","Moderate","1.2","No","None","Yes","Yes","90","High","10","32","12","Tolerant","-38","Low","Low"
"FLCE","","Flourensia cernua","","","","High","Medium","Slow","3.0","Yes","None","Yes","Yes","160","Low","9","24","6","Intolerant","-23","Low","Low"
"GAAR","","Gaillardia aristata","","","","Medium","Coarse","Moderate","2.0","No","None","Yes","Yes","100","Medium","16","30","16","Intolerant","-33","Low","Low"
"GUSA2","","Gutierrezia sarothrae","","","NE&GP, WSWS","High","Coarse","Moderate","1.5","No","None","Yes","Yes","140","Medium","7","30","16","Intolerant","-38","Low","Low"
"GYDI","","Gymnocladus dioicus","","","","Low","Coarse","Slow","100","No","Low","Yes","Yes","","Medium","","","36","Intolerant","-32","Low","Low"
"HACA3","","Halesia carolina","","","","High","Medium","Moderate","30","No","None","Yes","Yes","160","Medium","40","80","40","Tolerant","-10","Low","Low"
"HEHE","","Hedera helix","","OR (BDW, Q), WA (CCW)","Cal-IPC, SEEPPC, STATE, WI","High","Coarse","Moderate","5.0","No","None","Yes","Yes","160","Medium","28","65","12","Tolerant","-23","Low","Low"
"HEAU","","Helenium autumnale","","","NE&GP","","Fine","Rapid","4.9","No","None","Yes","Yes","100","Medium","10","60","6","Intolerant","-43","Low","Low"
"HEMER","","Hemerocallis","","","","Medium","Medium","Rapid","3.0","No","None","Yes","Yes","110","Medium","28","60","16","Intermediate","-23","Low","Low"
"HEAR22","","Hesperocyparis arizonica","","","","","","","","","","","","","","","","","","","",""
"HEAR22","CUAR","Cupressus arizonica","","","","High","Fine","Moderate","50","Yes","None","Yes","Yes","120","Low","16","30","12","Tolerant","-23","Low","Low"
"HEVI4","","Heterotheca villosa","","","","Medium","Coarse","Moderate","3.0","No","None","Yes","Yes","130","Low","10","26","14","Intolerant","-33","Low","Low"
"HIRH80","","Hippophae rhamnoides","","","","High","Coarse","Rapid","18","No","Medium","Yes","Yes","100","Low","26","50","18","Intolerant","-38","Low","Low"
"HOLA","","Holcus lanatus","","","Cal-IPC, HEAR, N'EAST, WSWS","","Fine","Moderate","3.3","No","None","Yes","Yes","120","Low","20","65","4","Intermediate","-23","Low","Low"
"HOBR2","","Hordeum brachyantherum","","","","Medium","Medium","Moderate","2.0","No","None","Yes","Yes","100","Medium","20","80","6","Intolerant","-43","Low","Low"
"HYCA10","","Hypericum calycinum","","","","Medium","Medium","Rapid","0.8","No","None","Yes","Yes","130","Medium","30","60","12","Tolerant","-43","Low","Low"
"HYCR3","","Hypericum crux-andreae","","","","High","Medium","Moderate","2.0","No","None","Yes","Yes","170","Medium","32","48","12","Intermediate","-8","Low","Low"
"ILCO80","","Ilex cornuta","","","","High","Coarse","Moderate","8.0","Yes","None","Yes","Yes","160","Medium","26","60","18","Intolerant","-23","Low","Low"
"ILGL","","Ilex glabra","","","","High","Coarse","Slow","8.0","Yes","None","Yes","Yes","165","High","32","60","16","Intolerant","-13","Low","Low"
"ILOP","","Ilex opaca","","","","High","Coarse","Slow","40","Yes","None","Yes","Yes","140","Medium","40","80","30","Tolerant","-20","Low","Low"
"IPAGA3","","Ipomopsis aggregata ssp. aggregata","","","","High","Coarse","Rapid","3.0","No","None","Yes","Yes","140","Low","10","15","6","Intolerant","-18","Low","Low"
"IRMI","","Iris missouriensis","","CA (CW)","STATE, WSWS","High","Medium","Rapid","1.0","No","None","Yes","Yes","115","High","24","35","6","Intermediate","-28","Low","Low"
"JUCI","","Juglans cinerea","","","","High","Coarse","Rapid","80","No","None","Yes","Yes","105","Medium","25","80","40","Intolerant","-33","Low","Low"
